SchemeCode,SchemeName,SchemeCategory,Inception,ExpenseRatio,TurnoverRatio,ALP3Y,ALP5Y,ALP10Y,BET3Y,BET5Y,BET10Y,R2_3YRS,R2_5YRS,R2_10YRS,SD_3YRS,SD_5YRS,SD_10YRS,SHP_3YRS,SHP_5YRS,SHP_10YRS
100033,Aditya Birla Sun Life Equity Advantage Fund Growth,Large & Mid- Cap,1995-02-24,1.95,40.0,-4.5,-2.44,-2.13,1.04,1.0,1.07,88.31,88.06,90.02,16.12,16.66,18.82,0.2,0.99,0.34
100034,Aditya Birla Sun Life Equity Advantage Fund Payout Inc Dist cum Cap Wdrl,Large & Mid- Cap,1995-02-24,1.95,40.0,-4.95,-2.76,-2.5,1.04,1.0,1.07,88.71,88.21,89.96,16.09,16.65,18.78,0.17,0.97,0.32
100176,Quant Small Cap Fund Payout of Income Distribution cum capital withdrawal option,Small-Cap,1996-10-31,1.64,151.0,2.44,10.06,4.59,0.88,0.96,0.71,89.49,73.71,59.24,18.84,23.07,20.99,0.75,1.66,0.64
100177,Quant Small Cap Fund Growth,Small-Cap,1996-09-23,1.64,151.0,2.4,10.01,4.69,0.88,0.96,0.72,89.51,73.74,59.45,18.84,23.07,20.98,0.75,1.66,0.64
100218,JM Large Cap Fund Payout of Income Distribution cum capital withdrawal,Large-Cap,1995-01-04,2.25,276.16,0.62,-0.98,-1.61,0.96,0.77,0.7,88.22,82.52,85.55,14.3,13.04,12.47,0.5,1.0,0.29
100254,JM Value Fund Growth,Value,1997-02-06,2.08,115.21,5.92,3.82,1.73,1.0,0.96,1.06,76.83,81.19,87.85,16.87,16.78,19.27,0.8,1.34,0.53
100332,LIC MF Large Cap Fund Reinvestment of Income Distribution cum Cap Wrdl,Large-Cap,2007-08-11,2.15,83.0,-3.98,-4.2,-2.95,1.01,0.92,0.92,96.93,93.01,93.42,14.4,14.69,15.54,0.21,0.85,0.25
100348,ICICI Prudential Large & Mid Cap Fund Payout Inc Dist cum Cap Wdrl,Large & Mid- Cap,1998-09-07,1.7,59.0,6.1,6.02,1.12,0.83,0.91,0.96,91.54,84.2,83.22,12.67,15.41,17.44,0.97,1.5,0.5
100349,ICICI Prudential Large & Mid Cap Fund Growth,Large & Mid- Cap,1998-09-07,1.7,59.0,6.74,6.65,1.6,0.84,0.91,0.96,92.06,84.46,88.81,12.76,15.46,17.0,1.02,1.54,0.54
100375,Nippon India Growth Fund Payout Inc Dist cum Cap Wdrl,Mid-Cap,1995-08-10,1.61,14.0,-0.28,1.8,-0.19,0.88,0.91,0.96,78.55,83.53,89.86,17.56,17.5,19.68,0.71,1.4,0.52
100376,Nippon India Growth Fund - Bonus,Mid-Cap,1995-08-12,1.61,14.0,2.21,3.19,1.01,0.91,0.93,0.96,94.69,93.18,93.9,16.68,16.89,19.26,0.93,1.55,0.6
100377,Nippon India Growth Fund - Growth,Mid-Cap,1995-08-10,1.61,14.0,2.21,3.19,1.0,0.91,0.93,0.96,94.69,93.18,93.9,16.68,16.89,19.25,0.93,1.55,0.6
